Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,2700,-3.5,
,,,1030,-4.0,
,,,820,-8.5,
,,,1650,-8.0,
,,,7520,5.0,
,,,1570,-9.0,
,,,2010,-9.0,
,,,1300,-16.5,
,,,3840,2.0,
,,,740,-8.0,
,,,2560,3.5,
,,,1920,-14.0,
,,,2110,-10.0,
,,,18980,-9.0,
,,,5890,-6.5,
,,,430,10.0,
,,,3740,-14.0,
,,,2090,-6.0,
,,,1000,-3.5,
,,,610,-4.5,
,,,960,-10.5,
,,,2620,-10.0,
,,,760,-6.5,
,,,2260,-7.0,
,,,850,-13.5,
,,,720,-7.0,
,,,810,-2.5,
,,,5260,-9.0,
,,,4230,-8.0,
,,,1200,-6.0,
,,,310,-2.5,
,,,4760,-7.0,
,,,5830,-2.5,
,,,1130,-11.0,
,,,2390,7.5,
,,,1120,-8.5,
,,,3210,-15.0,
,,,1460,-6.5,
,,,950,-8.5,
,,,400,-7.5,
,,,5160,-8.5,
,,,600,-4.0,
,,,170,-2.5,
,,,1210,2.5,
,,,190,0.0,
,,,4160,1.0,
,,,3900,-20.0,
,,,1310,-8.0,
,,,3370,-14.0,
,,,4240,-12.5,
,,,1090,-7.0,
,,,330,-6.5,
,,,6140,-7.5,
,,,420,-15.0,
,,,2520,-4.0,
,,,340,-3.5,
,,,430,-6.5,
,,,960,-12.0,
,,,280,-13.5,
,,,190,-5.5,
,,,6400,-8.0,
,,,1120,6.5,
,,,1660,-9.0,
,,,4120,-6.5,
,,,3440,-5.0,
,,,5820,-4.5,
,,,1540,1.0,
,,,10680,-11.0,
,,,1860,-3.5,
,,,2020,-5.5,
,,,1120,-9.5,
,,,800,-6.0,
,,,700,-2.5,
,,,1680,-10.5,
,,,2880,-8.0,
,,,3730,-6.5,
,,,8520,0.5,
,,,510,-7.5,
,,,160,-4.5,
,,,1260,-11.5,
,,,2870,-6.5,
,,,7140,-1.0,
,,,690,-14.5,
,,,690,-5.0,
,,,780,-5.5,
,,,1630,0.5,
,,,7470,-2.0,
,,,9120,-11.5,
,,,1500,-5.5,
,,,5540,-5.0,
,,,350,-6.5,
,,,630,2.0,
,,,890,3.0,
,,,5230,10.5,
,,,820,6.0,
,,,1330,-969.0,
,,,140,-4.0,
,,,750,-8.0,
,,,1760,-8.0,
,,,8850,-8.0,
,,,4550,0.5,
,,,3560,-5.5,
,,,430,-5.0,
,,,330,5.5,
,,,8830,-16.5,
,,,1160,-8.5,
,,,2410,1.0,
,,,3160,-5.0,
,,,4120,-2.5,
,,,510,-7.0,
,,,2550,7.5,
,,,140,-6.0,
,,,1010,-7.5,
,,,3080,-8.0,
,,,820,-7.0,
,,,130,-9.0,
,,,7930,-6.0,
,,,2330,-9.5,
,,,1350,-4.0,
,,,1380,-6.0,
,,,7060,-7.5,
,,,290,0.0,
,,,1230,-92.5,
,,,710,-4.5,
,,,730,-6.5,
,,,690,-6.5,
,,,1010,-9.0,
,,,4070,-13.0,
,,,650,-4.5,
,,,2820,-3.5,
,,,980,1.0,
,,,1800,-1.0,
,,,3220,-5.5,
,,,2530,741.5,
,,,730,-1.0,
,,,2120,-8.5,
,,,13370,-15.5,
,,,2530,-6.0,
,,,1190,0.0,
,,,290,-7.5,
,,,730,-9.5,
,,,2470,-11.0,
,,,4560,-2.0,
,,,1430,-3.0,
,,,1820,0.0,
,,,2770,-5.0,
,,,290,-3.0,
,,,970,8.5,
,,,810,-9.0,
,,,8090,2.5,
,,,1120,-5.0,
,,,2020,-7.5,
,,,950,-5.5,
,,,1660,-5.0,
,,,3480,-2.0,
,,,1680,1.5,
,,,15200,-1.0,
,,,2120,-8.5,
,,,3630,1.0,
,,,2760,-3.0,
,,,5560,7.5,
,,,1110,-6.5,
,,,200,-9.0,
,,,4920,-4.5,
,,,380,-10.5,
,,,2920,-7.0,
,,,2690,-3.5,
,,,1800,-3.5,
,,,17870,6.5,
,,,530,-8.5,
,,,1270,-1.0,
,,,2740,-6.5,
,,,16710,-6.5,
,,,2890,-8.0,
,,,1310,-5.0,
,,,1810,10.0,
,,,4630,3.0,
,,,1840,3.0,
,,,2520,-16.0,
,,,1270,-7.0,
,,,4150,-7.0,
,,,480,-8.0,
,,,3270,4.5,
,,,2700,-5.5,
,,,3460,-3.0,
,,,3490,-14.5,
,,,1690,-4.5,
,,,3490,1.5,
,,,2760,-9.5,
,,,18230,-9.0,
,,,630,-1.5,
,,,2500,-9.0,
,,,930,1.5,
,,,850,0.5,
